date,performance,accessibility,best_practices,seo
2025-12-11,84,95,88,92
2025-12-22,84,95,88,92
2025-12-29,84,95,88,92
2026-01-05,84,95,88,92
2026-01-12,84,95,88,92
2026-01-19,84,95,88,92
2026-01-26,84,95,88,92
2026-02-02,84,95,88,92
2026-02-09,84,95,88,92
2026-02-16,84,95,88,92
2026-02-23,84,95,88,92
2026-03-02,84,95,88,92
2026-03-09,84,95,88,92
2026-03-16,84,95,88,92
2026-03-23,84,95,88,92
2026-03-30,84,95,88,92
2026-04-06,84,95,88,92
2026-04-13,84,95,88,92
2026-04-20,84,95,88,92
2026-04-27,84,95,88,92
2026-05-04,84,95,88,92
